epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8866,1.40559,3.85474,1.53246,0.02856,1,0.3817,0.31213,0.48001,3.62411,0.93703,1.666e-05,1.666e-05,1.666e-05
2,35.6919,1.67863,4.33722,1.90057,0.02867,1,0.4425,0.38583,0.43716,3.60395,0.90247,4.08253e-05,4.08253e-05,4.08253e-05
3,51.0541,1.07758,3.63615,1.35216,0.0291,1,0.58333,0.51273,0.40273,3.59548,0.86731,6.40011e-05,6.40011e-05,6.40011e-05
4,65.755,1.41074,3.66966,1.60326,0.02912,1,0.6002,0.57912,0.36167,3.58694,0.8486,8.61872e-05,8.61872e-05,8.61872e-05
5,80.602,1.22079,3.36563,1.33471,0.03236,1,0.87711,0.8136,0.35061,3.58152,0.84908,0.000107384,0.000107384,0.000107384
6,96.2467,1.04586,3.37198,1.26718,0.03584,1,0.80167,0.70173,0.34283,3.58936,0.84211,0.000127591,0.000127591,0.000127591
7,110.404,1.04004,3.53999,1.18,0.03722,1,0.79325,0.74152,0.33293,3.58856,0.84825,0.000146808,0.000146808,0.000146808
8,124.926,1.29538,2.88244,1.46195,0.03704,1,0.782,0.7308,0.35579,3.58496,0.85936,0.000165036,0.000165036,0.000165036
9,138.956,1.13132,3.10485,1.27761,0.0496,1,0.77389,0.72817,0.41743,3.57934,0.8695,0.000182274,0.000182274,0.000182274
10,152.703,1.08186,2.83029,1.34286,0.06367,1,0.78771,0.76458,0.44973,3.58028,0.88058,0.000198522,0.000198522,0.000198522
11,166.295,0.94157,2.71675,1.22405,0.10395,1,0.77917,0.71949,0.45126,3.63581,0.95948,0.000213781,0.000213781,0.000213781
12,179.975,0.97619,2.68569,1.20674,0.09568,1,0.62733,0.53341,0.45431,3.65764,1.00046,0.00022805,0.00022805,0.00022805
13,193.447,1.10876,2.40886,1.24186,0.11176,1,0.57844,0.48154,0.55949,3.61962,1.05798,0.00024133,0.00024133,0.00024133
14,207.576,1.04019,2.55982,1.16989,0.07514,1,0.53268,0.41737,0.56929,3.5918,1.0749,0.00025362,0.00025362,0.00025362
15,221.819,1.19218,2.77305,1.16682,0.05317,1,0.29542,0.22929,0.76922,3.60624,1.25546,0.000264921,0.000264921,0.000264921
16,235.663,1.14019,2.70774,1.30681,0.04518,1,0.38142,0.22054,0.88788,3.64929,1.39646,0.000275232,0.000275232,0.000275232
17,249.752,1.15402,2.66162,1.40895,0.04091,1,0.32614,0.17695,0.83514,3.7386,1.37633,0.000284553,0.000284553,0.000284553
18,263.958,1.37672,2.2312,1.65923,0.04205,1,0.45804,0.24845,0.88651,3.71098,1.37379,0.000292884,0.000292884,0.000292884
19,278.177,0.85992,1.92367,1.13914,0.04784,1,0.51329,0.38497,0.89316,3.63167,1.34598,0.000300227,0.000300227,0.000300227
20,292.125,0.88542,1.92455,1.16889,0.04721,1,0.55817,0.36409,0.88212,3.5785,1.31347,0.000306579,0.000306579,0.000306579
21,305.779,1.01566,2.10335,1.24329,0.04405,1,0.59719,0.39481,0.90586,3.48519,1.24752,0.000311942,0.000311942,0.000311942
22,319.22,0.87962,1.94703,1.13618,0.04353,1,0.58187,0.43452,0.84756,3.44762,1.18543,0.000316315,0.000316315,0.000316315
23,332.781,1.09262,2.61001,1.28049,0.0419,1,0.73319,0.47756,0.847,3.4608,1.16245,0.000319699,0.000319699,0.000319699
24,347.337,0.90954,2.06423,1.22169,0.04316,1,0.51012,0.37706,0.90114,3.49213,1.18968,0.000322093,0.000322093,0.000322093
25,361.555,0.96403,3.15038,1.41838,0.04624,1,0.51155,0.34458,1.1086,3.5392,1.27726,0.000323497,0.000323497,0.000323497
26,376.641,0.88385,1.83667,1.18763,0.04654,1,0.52514,0.2854,1.29592,3.53949,1.39688,0.000323912,0.000323912,0.000323912
27,390.573,0.84731,1.67405,1.1893,0.80127,0.33333,0.53306,0.28252,1.51727,3.57015,1.48707,0.000323337,0.000323337,0.000323337
28,404.028,0.88199,1.85695,1.15645,0.91573,0.33333,0.54911,0.30769,1.58812,3.52043,1.53291,0.000321773,0.000321773,0.000321773
29,417.631,0.87695,2.07672,1.12585,0.91573,0.33333,0.54911,0.30769,1.58812,3.52043,1.53291,0.000319219,0.000319219,0.000319219
30,431.314,1.25665,1.99976,1.53205,0.94209,0.33333,0.82917,0.54899,1.39889,3.53499,1.40685,0.000315675,0.000315675,0.000315675
31,444.721,0.84253,1.66453,1.13854,0.93812,0.33333,0.86233,0.59978,1.40898,3.50883,1.4077,0.000311142,0.000311142,0.000311142
32,458.491,0.85509,1.68609,1.19554,0.82927,0.33333,0.82917,0.58122,1.3994,3.42748,1.38927,0.000305619,0.000305619,0.000305619
33,471.953,0.66514,1.41516,1.03532,0.82927,0.33333,0.82917,0.58122,1.3994,3.42748,1.38927,0.000299107,0.000299107,0.000299107
34,485.37,0.73389,1.63066,1.00068,0.85167,0.33333,0.82131,0.58332,1.28482,3.35421,1.3247,0.000288718,0.000288718,0.000288718
35,499.031,0.70484,1.20576,0.99703,0.96936,0.33333,0.81345,0.60994,1.21898,3.30807,1.29933,0.000272224,0.000272224,0.000272224
36,512.673,0.81598,1.87501,1.08335,0.97979,0.33333,0.64133,0.35496,1.21458,3.24483,1.40664,0.000255731,0.000255731,0.000255731
37,526.25,1.15971,2.67233,1.53129,0.97979,0.33333,0.64133,0.35496,1.21458,3.24483,1.40664,0.000239238,0.000239238,0.000239238
38,539.784,1.13681,1.76357,1.35798,0.97579,0.33333,0.63033,0.33769,1.18141,3.21706,1.45603,0.000222744,0.000222744,0.000222744
39,553.711,0.62598,1.38825,1.00644,0.97167,0.33333,0.64958,0.34554,1.23541,3.10554,1.58663,0.000206251,0.000206251,0.000206251
40,567.628,0.91494,1.43624,1.17075,0.96869,0.33333,0.7375,0.41563,1.16975,3.13476,1.54518,0.000189757,0.000189757,0.000189757
41,581.372,1.6489,2.87469,2.75652,0.96869,0.33333,0.7375,0.41563,1.16975,3.13476,1.54518,0.000173264,0.000173264,0.000173264
42,594.644,0.52719,2.16118,1.0158,0.96021,0.33333,0.90333,0.53423,1.13082,3.09075,1.50982,0.000156771,0.000156771,0.000156771
43,607.69,0.79692,1.87143,1.1698,0.72784,0.33333,0.71889,0.55181,0.96626,3.22416,1.28351,0.000140277,0.000140277,0.000140277
44,621.282,1.00587,2.07287,1.4797,0.80623,0.33333,0.67278,0.52938,0.97786,3.32514,1.27,0.000123784,0.000123784,0.000123784
45,635.288,1.56308,2.82951,2.06108,0.80623,0.33333,0.67278,0.52938,0.97786,3.32514,1.27,0.00010729,0.00010729,0.00010729
46,649.185,0.62482,1.94264,0.90286,0.74515,0.33333,0.67066,0.53806,0.95336,3.31521,1.27086,9.0797e-05,9.0797e-05,9.0797e-05
47,663.005,0.79586,1.82865,1.17289,0.73535,0.33333,0.68955,0.5238,0.91514,3.24217,1.25358,7.43036e-05,7.43036e-05,7.43036e-05
48,676.451,0.59131,2.12361,1.11426,0.03393,1,0.60241,0.50993,1.05468,3.23169,1.37547,5.78102e-05,5.78102e-05,5.78102e-05
49,689.341,0.7665,1.84982,1.25688,0.03393,1,0.60241,0.50993,1.05468,3.23169,1.37547,4.13168e-05,4.13168e-05,4.13168e-05
50,702.719,1.59583,2.80358,2.19365,0.29884,0.88889,0.619,0.49057,1.01467,3.275,1.36278,2.48234e-05,2.48234e-05,2.48234e-05
